# discard: [15]
# discarded: [9, 12]
# [ 0  1  2  3  4  5  6  7  8 10 11 13 14 16] 
0 4.09493e-02 3.92651e-02 
1 4.32171e-02 4.14431e-02 
2 4.10117e-02 3.95563e-02 
3 4.20562e-02 4.02581e-02 
4 4.26001e-02 4.04769e-02 
5 4.80016e-02 4.51555e-02 
6 4.61940e-02 4.29390e-02 
7 4.24589e-02 4.10304e-02 
8 7.12601e-02 6.61354e-02 
9 4.99086e-02 4.59405e-02 
10 4.32720e-02 4.15214e-02 
11 4.18924e-02 4.02300e-02 
12 4.22906e-02 4.05351e-02 
13 4.30034e-02 4.13181e-02 
14 4.19685e-02 4.01712e-02 
15 4.67600e-02 4.38911e-02 
16 4.50043e-02 4.30876e-02 
17 4.50910e-02 4.38647e-02 
18 4.06349e-02 3.93439e-02 
19 4.16221e-02 4.07315e-02 
20 4.30936e-02 4.13793e-02 
21 4.31080e-02 4.12172e-02 
22 4.36391e-02 4.24632e-02 
23 4.37664e-02 4.20172e-02 
24 4.65377e-02 4.29415e-02 
25 4.13885e-02 3.95725e-02 
26 4.15644e-02 4.02399e-02 
27 4.14800e-02 3.97448e-02 
28 4.20044e-02 4.04187e-02 
29 4.03155e-02 3.87502e-02 
30 3.96560e-02 3.82855e-02 
31 4.00376e-02 3.84775e-02 
32 3.97547e-02 3.83163e-02 
33 3.96290e-02 3.82496e-02 
34 3.97944e-02 3.83643e-02 
35 3.99581e-02 3.84274e-02 
36 3.98538e-02 3.84853e-02 
37 3.97407e-02 3.84508e-02 
38 3.99822e-02 3.86922e-02 
39 4.11546e-02 3.93533e-02 
40 3.99268e-02 3.85092e-02 
41 4.07898e-02 3.90594e-02 
42 3.95538e-02 3.82411e-02 
43 3.96410e-02 3.82709e-02 
44 3.98683e-02 3.84731e-02 
45 3.98529e-02 3.84011e-02 
46 3.99456e-02 3.86156e-02 
47 3.93858e-02 3.80643e-02 
48 4.02521e-02 3.89609e-02 
49 4.45042e-02 4.14361e-02 
50 3.96140e-02 3.82902e-02 
51 3.95870e-02 3.82108e-02 
52 4.08101e-02 3.91369e-02 
53 7.17825e-02 6.82317e-02 
54 3.98454e-02 3.83099e-02 
55 3.97889e-02 3.83480e-02 
56 4.10289e-02 3.92457e-02 
57 5.58317e-02 5.17598e-02 
58 4.00178e-02 3.86752e-02 
59 3.98435e-02 3.84546e-02 
60 4.04846e-02 3.89074e-02 
61 3.96922e-02 3.82893e-02 
62 3.96588e-02 3.82493e-02 
63 3.97953e-02 3.84018e-02 
64 4.00122e-02 3.85315e-02 
65 3.99978e-02 3.88034e-02 
66 4.02192e-02 3.87795e-02 
67 3.94914e-02 3.81611e-02 
68 3.94675e-02 3.80915e-02 
69 3.99758e-02 3.86587e-02 
70 3.99981e-02 3.85510e-02 
71 3.97149e-02 3.83373e-02 
72 3.95466e-02 3.82762e-02 
73 3.98160e-02 3.85025e-02 
74 3.97777e-02 3.84215e-02 
75 4.14132e-02 3.96734e-02 
76 3.95603e-02 3.82017e-02 
77 3.96037e-02 3.83037e-02 
78 3.98378e-02 3.84386e-02 
79 4.01663e-02 3.85663e-02 
80 3.96398e-02 3.84156e-02 
81 3.95645e-02 3.81730e-02 
82 3.94385e-02 3.81910e-02 
83 3.95580e-02 3.82329e-02 
84 3.95546e-02 3.81572e-02 
85 3.98259e-02 3.85240e-02 
86 4.11773e-02 3.97088e-02 
87 3.97001e-02 3.83723e-02 
88 3.98700e-02 3.84780e-02 
89 4.04423e-02 3.88030e-02 
90 4.03122e-02 3.89710e-02 
91 3.95282e-02 3.81470e-02 
92 3.96674e-02 3.82785e-02 
93 3.94995e-02 3.81637e-02 
94 4.32561e-02 4.12696e-02 
95 4.00244e-02 3.84971e-02 
96 4.21796e-02 4.11368e-02 
97 3.96563e-02 3.84793e-02 
98 3.99583e-02 3.84653e-02 
99 4.34135e-02 4.12606e-02 
