# discard: [3]
# discarded: [9, 12]
# [ 0  1  2  4  5  6  7  8 10 11 13 14 15 16] 
0 4.48491e-02 4.27322e-02 
1 4.53684e-02 4.35349e-02 
2 7.27500e-02 6.87290e-02 
3 4.37312e-02 4.18600e-02 
4 4.65642e-02 4.38727e-02 
5 4.06440e-02 3.89542e-02 
6 4.14268e-02 3.99702e-02 
7 4.00020e-02 3.86023e-02 
8 4.17655e-02 4.07424e-02 
9 3.99214e-02 3.87553e-02 
10 4.12653e-02 4.00247e-02 
11 4.20883e-02 4.04674e-02 
12 4.23268e-02 4.05616e-02 
13 4.53103e-02 4.35466e-02 
14 4.43053e-02 4.24721e-02 
15 4.10483e-02 3.95148e-02 
16 4.39542e-02 4.18200e-02 
17 6.35700e-02 5.88797e-02 
18 4.50020e-02 4.30554e-02 
19 4.43502e-02 4.20879e-02 
20 4.31400e-02 4.12087e-02 
21 4.86825e-02 4.48676e-02 
22 4.36915e-02 4.22110e-02 
23 4.31408e-02 4.17406e-02 
24 6.01284e-02 5.59381e-02 
25 4.09218e-02 3.92675e-02 
26 4.70663e-02 4.35017e-02 
27 4.10481e-02 3.93107e-02 
28 4.02537e-02 3.88210e-02 
29 4.01681e-02 3.86702e-02 
30 3.99454e-02 3.85751e-02 
31 4.00317e-02 3.86023e-02 
32 4.06209e-02 3.92506e-02 
33 4.06834e-02 3.92054e-02 
34 3.96115e-02 3.83206e-02 
35 4.00120e-02 3.87082e-02 
36 4.02781e-02 3.92153e-02 
37 4.05496e-02 3.92730e-02 
38 3.96425e-02 3.82029e-02 
39 3.95499e-02 3.81547e-02 
40 3.92143e-02 3.79256e-02 
41 3.95844e-02 3.81715e-02 
42 3.96175e-02 3.81472e-02 
43 3.94882e-02 3.80899e-02 
44 3.92371e-02 3.79414e-02 
45 3.93040e-02 3.79518e-02 
46 3.92307e-02 3.79578e-02 
47 3.94505e-02 3.80410e-02 
48 3.92503e-02 3.79044e-02 
49 3.99922e-02 3.85355e-02 
50 3.92517e-02 3.79099e-02 
51 5.02804e-02 4.64591e-02 
52 3.95074e-02 3.81734e-02 
53 3.92652e-02 3.79798e-02 
54 4.08616e-02 3.91198e-02 
55 3.90833e-02 3.78958e-02 
56 3.94051e-02 3.81141e-02 
57 3.92729e-02 3.79823e-02 
58 4.00065e-02 3.85460e-02 
59 3.96849e-02 3.84698e-02 
60 3.93592e-02 3.80822e-02 
61 3.93080e-02 3.79509e-02 
62 3.91690e-02 3.77809e-02 
63 3.91598e-02 3.79201e-02 
64 3.93231e-02 3.80589e-02 
65 4.04030e-02 3.87610e-02 
66 3.97586e-02 3.83568e-02 
67 3.95241e-02 3.82006e-02 
68 3.92088e-02 3.78356e-02 
69 3.90750e-02 3.78276e-02 
70 3.95073e-02 3.81091e-02 
71 3.92917e-02 3.79593e-02 
72 3.92005e-02 3.79256e-02 
73 3.93803e-02 3.81805e-02 
74 5.06842e-02 4.68517e-02 
75 3.93381e-02 3.80984e-02 
76 3.94284e-02 3.80756e-02 
77 4.01629e-02 3.86343e-02 
78 3.94845e-02 3.80992e-02 
79 3.95783e-02 3.85578e-02 
80 4.15724e-02 3.98143e-02 
81 3.91325e-02 3.78426e-02 
82 3.91537e-02 3.78627e-02 
83 3.93040e-02 3.80165e-02 
84 3.97347e-02 3.83547e-02 
85 3.93343e-02 3.81781e-02 
86 3.93162e-02 3.80978e-02 
87 3.95324e-02 3.81846e-02 
88 3.90198e-02 3.77476e-02 
89 3.93790e-02 3.83095e-02 
90 3.93588e-02 3.80473e-02 
91 3.91587e-02 3.78633e-02 
92 3.91059e-02 3.79222e-02 
93 3.91659e-02 3.79393e-02 
94 3.91541e-02 3.78595e-02 
95 3.92527e-02 3.79766e-02 
96 3.91591e-02 3.79506e-02 
97 3.92522e-02 3.80862e-02 
98 3.91393e-02 3.79193e-02 
99 3.91717e-02 3.81129e-02 
