# discard: [10]
# discarded: [9, 2]
# [ 0  1  3  4  5  6  7  8 11 12 13] 
0 3.89126e-02 3.84635e-02 
1 4.10985e-02 4.08759e-02 
2 4.21216e-02 4.18479e-02 
3 4.06700e-02 4.04770e-02 
4 4.01355e-02 3.98589e-02 
5 4.26866e-02 4.23591e-02 
6 4.22694e-02 4.21299e-02 
7 4.00289e-02 3.96089e-02 
8 3.87926e-02 3.83225e-02 
9 4.09098e-02 4.06467e-02 
10 4.18950e-02 4.15875e-02 
11 4.23778e-02 4.26454e-02 
12 4.08679e-02 4.04877e-02 
13 3.99272e-02 3.95854e-02 
14 4.10307e-02 4.06028e-02 
15 4.05480e-02 4.01600e-02 
16 4.31828e-02 4.28651e-02 
17 4.04517e-02 4.02208e-02 
18 4.08893e-02 4.08591e-02 
19 4.20651e-02 4.16994e-02 
20 4.18174e-02 4.16517e-02 
21 4.01574e-02 3.98648e-02 
22 4.03205e-02 3.99539e-02 
23 4.06843e-02 4.05691e-02 
24 3.92496e-02 3.87120e-02 
25 4.03401e-02 4.02466e-02 
26 3.86499e-02 3.81616e-02 
27 3.84558e-02 3.80041e-02 
28 4.65378e-02 4.66773e-02 
29 3.86087e-02 3.81389e-02 
30 3.86295e-02 3.81762e-02 
31 3.86162e-02 3.81012e-02 
32 3.87459e-02 3.83249e-02 
33 3.86531e-02 3.81150e-02 
34 4.17343e-02 4.14729e-02 
35 3.86585e-02 3.80972e-02 
36 3.89226e-02 3.84002e-02 
37 3.91610e-02 3.88118e-02 
38 3.90164e-02 3.85449e-02 
39 3.88687e-02 3.84189e-02 
40 3.96158e-02 3.92541e-02 
41 3.87097e-02 3.82663e-02 
42 3.87604e-02 3.82316e-02 
43 3.87865e-02 3.82704e-02 
44 3.87439e-02 3.81974e-02 
45 3.94015e-02 3.89307e-02 
46 3.85344e-02 3.81260e-02 
47 3.86688e-02 3.82731e-02 
48 3.88159e-02 3.83730e-02 
49 3.92273e-02 3.88074e-02 
50 3.97860e-02 3.95032e-02 
51 6.71070e-02 6.70130e-02 
52 3.85375e-02 3.79949e-02 
53 3.87556e-02 3.83205e-02 
54 3.86099e-02 3.80990e-02 
55 3.86893e-02 3.82416e-02 
56 3.86892e-02 3.81973e-02 
57 3.84178e-02 3.78685e-02 
58 3.89557e-02 3.84426e-02 
59 3.86508e-02 3.81839e-02 
60 3.86142e-02 3.80528e-02 
61 3.87147e-02 3.81942e-02 
62 3.85739e-02 3.79859e-02 
63 3.87542e-02 3.81935e-02 
64 3.84081e-02 3.79083e-02 
65 3.84593e-02 3.79406e-02 
66 3.83876e-02 3.78722e-02 
67 3.84038e-02 3.78873e-02 
68 3.84820e-02 3.79408e-02 
69 3.92881e-02 3.88861e-02 
70 3.83796e-02 3.78960e-02 
71 3.83966e-02 3.78597e-02 
72 3.83910e-02 3.78432e-02 
73 3.90207e-02 3.86195e-02 
74 3.85714e-02 3.80562e-02 
75 6.52485e-02 6.78945e-02 
76 3.83622e-02 3.78897e-02 
77 3.88934e-02 3.84321e-02 
78 3.84909e-02 3.79807e-02 
79 3.85124e-02 3.80105e-02 
80 3.84196e-02 3.79437e-02 
81 3.83956e-02 3.79625e-02 
82 3.84741e-02 3.79616e-02 
83 3.91826e-02 3.88283e-02 
84 3.84492e-02 3.79419e-02 
85 3.87200e-02 3.82329e-02 
86 3.83311e-02 3.78678e-02 
87 6.62169e-02 6.61183e-02 
88 3.91150e-02 3.86547e-02 
89 4.24650e-02 4.21111e-02 
90 3.84651e-02 3.79763e-02 
91 3.83263e-02 3.78390e-02 
92 3.83126e-02 3.78497e-02 
93 3.83293e-02 3.78657e-02 
94 3.84230e-02 3.78975e-02 
95 3.83417e-02 3.78598e-02 
96 3.83094e-02 3.79349e-02 
97 3.83793e-02 3.79184e-02 
98 3.83735e-02 3.78842e-02 
99 3.84005e-02 3.79196e-02 
