# discard: [6]
# discarded: [9, 2]
# [ 0  1  3  4  5  7  8 10 11 12 13] 
0 4.10908e-02 4.11295e-02 
1 3.98807e-02 3.95100e-02 
2 3.97909e-02 3.95472e-02 
3 5.78186e-02 5.92755e-02 
4 4.25060e-02 4.28270e-02 
5 4.25668e-02 4.32228e-02 
6 4.04426e-02 4.02963e-02 
7 4.25014e-02 4.28580e-02 
8 4.01546e-02 4.01365e-02 
9 3.87241e-02 3.85983e-02 
10 3.97464e-02 3.98273e-02 
11 4.00808e-02 3.98988e-02 
12 4.12219e-02 4.09321e-02 
13 3.93936e-02 3.92298e-02 
14 4.44810e-02 4.57119e-02 
15 4.43634e-02 4.43295e-02 
16 4.06306e-02 4.05738e-02 
17 3.94293e-02 3.91597e-02 
18 4.50869e-02 4.54498e-02 
19 3.87061e-02 3.86225e-02 
20 4.11870e-02 4.12034e-02 
21 4.46827e-02 4.50627e-02 
22 4.07781e-02 4.09770e-02 
23 5.27807e-02 5.53676e-02 
24 4.06864e-02 4.06693e-02 
25 3.85901e-02 3.83208e-02 
26 3.85554e-02 3.83530e-02 
27 3.85306e-02 3.83685e-02 
28 3.85349e-02 3.83690e-02 
29 3.86509e-02 3.84757e-02 
30 3.88037e-02 3.85395e-02 
31 3.85415e-02 3.82785e-02 
32 3.94198e-02 3.92216e-02 
33 3.87975e-02 3.86048e-02 
34 3.99885e-02 4.02480e-02 
35 3.86082e-02 3.83817e-02 
36 5.71617e-02 5.80104e-02 
37 3.86184e-02 3.83962e-02 
38 3.87565e-02 3.85835e-02 
39 3.88573e-02 3.85973e-02 
40 3.99684e-02 3.96744e-02 
41 3.85558e-02 3.83077e-02 
42 3.88157e-02 3.85861e-02 
43 3.96221e-02 3.97381e-02 
44 3.85091e-02 3.82789e-02 
45 3.89957e-02 3.90022e-02 
46 3.88674e-02 3.87950e-02 
47 3.87619e-02 3.85431e-02 
48 3.92067e-02 3.90173e-02 
49 3.83468e-02 3.81752e-02 
50 1.45165e-01 1.46442e-01 
51 3.85412e-02 3.83288e-02 
52 3.86557e-02 3.84171e-02 
53 3.87240e-02 3.84901e-02 
54 4.41763e-02 4.45809e-02 
55 3.98582e-02 3.99327e-02 
56 3.85975e-02 3.84909e-02 
57 3.87850e-02 3.85415e-02 
58 3.85521e-02 3.83904e-02 
59 3.96760e-02 3.94338e-02 
60 3.92690e-02 3.92109e-02 
61 3.83697e-02 3.82382e-02 
62 3.83049e-02 3.81173e-02 
63 3.83856e-02 3.83166e-02 
64 3.85356e-02 3.84055e-02 
65 3.87302e-02 3.85975e-02 
66 4.01006e-02 4.02095e-02 
67 3.83994e-02 3.82176e-02 
68 3.88293e-02 3.86748e-02 
69 3.86746e-02 3.84503e-02 
70 3.86644e-02 3.85340e-02 
71 3.83775e-02 3.82591e-02 
72 3.85178e-02 3.83570e-02 
73 3.86342e-02 3.84938e-02 
74 3.94265e-02 3.94701e-02 
75 3.84176e-02 3.83081e-02 
76 3.86256e-02 3.85113e-02 
77 3.91384e-02 3.88701e-02 
78 3.82995e-02 3.81626e-02 
79 3.88102e-02 3.87526e-02 
80 3.84500e-02 3.82206e-02 
81 3.83739e-02 3.82167e-02 
82 3.84797e-02 3.83541e-02 
83 3.83939e-02 3.82357e-02 
84 3.83125e-02 3.81683e-02 
85 3.83557e-02 3.81508e-02 
86 3.85021e-02 3.83302e-02 
87 3.85263e-02 3.84157e-02 
88 4.20159e-02 4.22223e-02 
89 3.84463e-02 3.82329e-02 
90 3.85841e-02 3.83379e-02 
91 3.83468e-02 3.81908e-02 
92 3.96297e-02 3.94410e-02 
93 3.85127e-02 3.83359e-02 
94 3.85697e-02 3.83968e-02 
95 3.83830e-02 3.82743e-02 
96 3.84370e-02 3.83034e-02 
97 3.84500e-02 3.83458e-02 
98 3.85637e-02 3.84619e-02 
99 3.85167e-02 3.82838e-02 
